Reactome,m,proteins
ERBB2 Regulates Cell Motility,15,MEMO1_HUMAN;HBEGF_HUMAN;NRG4_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;NRG1_HUMAN;NRG1_HUMAN;RHOA_HUMAN;NRG3_HUMAN;BTC_HUMAN;ERBB2_HUMAN;EGF_HUMAN;EGFR_HUMAN;DIAP1_HUMAN;EREG_HUMAN;
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,44,H2AJ_HUMAN;MTA3_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;EHMT2_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;HDAC2_HUMAN;P66B_HUMAN;H2B3B_HUMAN;P66A_HUMAN;H2AV_HUMAN;H32_HUMAN;H2A2A_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;RBBP7_HUMAN;TTF1_HUMAN;CHD4_HUMAN;HDAC1_HUMAN;MTA1_HUMAN;CBX3_HUMAN;CHD3_HUMAN;RBBP4_HUMAN;ERCC6_HUMAN;H33_HUMAN;H31_HUMAN;H2B1C_HUMAN;H4_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;H2B1B_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;H2AX_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;H2B1J_HUMAN;H2A1B_HUMAN;MBD3_HUMAN;MTA2_HUMAN;
ERK/MAPK targets,19,MK14_HUMAN;MK11_HUMAN;KS6A1_HUMAN;KS6A2_HUMAN;2A5D_HUMAN;MK07_HUMAN;MK07_HUMAN;MEF2C_HUMAN;MEF2A_HUMAN;PP2AA_HUMAN;PP2AB_HUMAN;KS6A3_HUMAN;2AAB_HUMAN;2AAA_HUMAN;MK01_HUMAN;MK01_HUMAN;MK03_HUMAN;MK03_HUMAN;ELK1_HUMAN;
ERKs are inactivated,12,VRK3_HUMAN;DUS7_HUMAN;DUS6_HUMAN;2A5D_HUMAN;MK07_HUMAN;DUS4_HUMAN;PP2AA_HUMAN;PP2AB_HUMAN;DUS3_HUMAN;2AAB_HUMAN;2AAA_HUMAN;MK01_HUMAN;
ER-Phagosome pathway,228,LY96_HUMAN;NEMO_HUMAN;TLR6_HUMAN;PSD13_HUMAN;PSME2_HUMAN;1C05_HUMAN;1C05_HUMAN;S61A2_HUMAN;VAMP8_HUMAN;MYD88_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;1C17_HUMAN;1C17_HUMAN;1B38_HUMAN;1B38_HUMAN;PSMF1_HUMAN;PSA7L_HUMAN;1B73_HUMAN;1B73_HUMAN;1B81_HUMAN;1B81_HUMAN;1C06_HUMAN;1C06_HUMAN;1C16_HUMAN;1C16_HUMAN;1B59_HUMAN;1B59_HUMAN;1C18_HUMAN;1C18_HUMAN;1B67_HUMAN;1B67_HUMAN;1B82_HUMAN;1B82_HUMAN;PSMD5_HUMAN;VAMP3_HUMAN;TLR1_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;PSMD2_HUMAN;STX4_HUMAN;1A80_HUMAN;1A80_HUMAN;1C15_HUMAN;1C15_HUMAN;PSME1_HUMAN;BTK_HUMAN;1B40_HUMAN;1B40_HUMAN;TAP2_HUMAN;TAP2_HUMAN;TAP1_HUMAN;TAP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;B2MG_HUMAN;B2MG_HUMAN;S61A1_HUMAN;PSME3_HUMAN;PSA6_HUMAN;DSS1_HUMAN;SC61B_HUMAN;SC61G_HUMAN;TIRAP_HUMAN;PSMD4_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;PSB10_HUMAN;PRS7_HUMAN;1B35_HUMAN;1B35_HUMAN;1A29_HUMAN;1A29_HUMAN;HLAF_HUMAN;HLAF_HUMAN;1C14_HUMAN;1C14_HUMAN;1C12_HUMAN;1C12_HUMAN;1C08_HUMAN;1C08_HUMAN;1C04_HUMAN;1C04_HUMAN;1C02_HUMAN;1C02_HUMAN;1C01_HUMAN;1C01_HUMAN;1B78_HUMAN;1B78_HUMAN;1B56_HUMAN;1B56_HUMAN;1B55_HUMAN;1B55_HUMAN;1B54_HUMAN;1B54_HUMAN;1B53_HUMAN;1B53_HUMAN;1B52_HUMAN;1B52_HUMAN;1B50_HUMAN;1B50_HUMAN;1B49_HUMAN;1B49_HUMAN;1B48_HUMAN;1B48_HUMAN;1B47_HUMAN;1B47_HUMAN;1B46_HUMAN;1B46_HUMAN;1B45_HUMAN;1B45_HUMAN;1B44_HUMAN;1B44_HUMAN;1B42_HUMAN;1B42_HUMAN;1B41_HUMAN;1B41_HUMAN;1B39_HUMAN;1B39_HUMAN;1B18_HUMAN;1B18_HUMAN;1B15_HUMAN;1B15_HUMAN;1B14_HUMAN;1B14_HUMAN;1B13_HUMAN;1B13_HUMAN;1B08_HUMAN;1B08_HUMAN;1A74_HUMAN;1A74_HUMAN;1A66_HUMAN;1A66_HUMAN;1A43_HUMAN;1A43_HUMAN;1A36_HUMAN;1A36_HUMAN;1A34_HUMAN;1A34_HUMAN;1A26_HUMAN;1A26_HUMAN;1A23_HUMAN;1A23_HUMAN;1A01_HUMAN;1A01_HUMAN;PDIA3_HUMAN;PDIA3_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;CALR_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;PSB1_HUMAN;1B57_HUMAN;1B57_HUMAN;1B51_HUMAN;1B51_HUMAN;1B37_HUMAN;1B37_HUMAN;1A25_HUMAN;1A25_HUMAN;PRS6A_HUMAN;HLAG_HUMAN;HLAG_HUMAN;CD36_HUMAN;1A33_HUMAN;1A33_HUMAN;1A31_HUMAN;1A31_HUMAN;1A30_HUMAN;1A30_HUMAN;HLAE_HUMAN;HLAE_HUMAN;1A11_HUMAN;1A11_HUMAN;1C07_HUMAN;1C07_HUMAN;1B58_HUMAN;1B58_HUMAN;1A69_HUMAN;1A69_HUMAN;1A32_HUMAN;1A32_HUMAN;UBC_HUMAN;UBB_HUMAN;CD14_HUMAN;1A24_HUMAN;1A24_HUMAN;1A03_HUMAN;1A03_HUMAN;1C03_HUMAN;1C03_HUMAN;1B27_HUMAN;1B27_HUMAN;HLAH_HUMAN;HLAH_HUMAN;1A02_HUMAN;1A02_HUMAN;1A68_HUMAN;1A68_HUMAN;1B07_HUMAN;1B07_HUMAN;PSD10_HUMAN;SC22B_HUMAN;TLR2_HUMAN;PSMD3_HUMAN;TPSN_HUMAN;IKKA_HUMAN;IKKB_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;TLR4_HUMAN;SNP23_HUMAN;
Erythrocytes take up carbon dioxide and release oxygen,11,NB5R1_HUMAN;NB5R4_HUMAN;NB5R5_HUMAN;NB5R2_HUMAN;RHAG_HUMAN;HBA_HUMAN;HBB_HUMAN;AQP1_HUMAN;CAH4_HUMAN;B3AT_HUMAN;CAH2_HUMAN;
Erythrocytes take up oxygen and release carbon dioxide,7,RHAG_HUMAN;HBA_HUMAN;HBB_HUMAN;AQP1_HUMAN;CAH4_HUMAN;B3AT_HUMAN;CAH2_HUMAN;
ESR-mediated signaling,10,ESR2_HUMAN;TEBP_HUMAN;FKBP5_HUMAN;PPID_HUMAN;FKBP4_HUMAN;PPP5_HUMAN;MK01_HUMAN;MK03_HUMAN;HS90B_HUMAN;HS90A_HUMAN;
Essential pentosuria,1,DCXR_HUMAN;
Establishment of Sister Chromatid Cohesion,10,SMC3_HUMAN;PDS5B_HUMAN;CDCA5_HUMAN;STAG1_HUMAN;STAG2_HUMAN;WAPL_HUMAN;ESCO1_HUMAN;ESCO2_HUMAN;PDS5A_HUMAN;SMC1A_HUMAN;
Estrogen biosynthesis,5,DHB14_HUMAN;DHB11_HUMAN;DHB2_HUMAN;DHB1_HUMAN;CP19A_HUMAN;
Estrogen-dependent gene expression,118,NCOA3_HUMAN;SMC3_HUMAN;TNR6B_HUMAN;AGO1_HUMAN;AGO2_HUMAN;GPAT1_HUMAN;AGO4_HUMAN;TNR6C_HUMAN;MOV10_HUMAN;AGO3_HUMAN;H2AJ_HUMAN;CITE1_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;ANM1_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;KAT5_HUMAN;KAT2B_HUMAN;CBP_HUMAN;STAG1_HUMAN;TNR6A_HUMAN;KCTD6_HUMAN;STAG2_HUMAN;H2B3B_HUMAN;CARM1_HUMAN;CXXC5_HUMAN;H2AV_HUMAN;H32_HUMAN;H2A2A_HUMAN;GREB1_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;USF2_HUMAN;NCOA1_HUMAN;MED1_HUMAN;NCOA2_HUMAN;ERBB4_HUMAN;TEBP_HUMAN;SMC1A_HUMAN;KANK1_HUMAN;PEBB_HUMAN;HDAC1_HUMAN;EP300_HUMAN;TFF3_HUMAN;TLE3_HUMAN;FKBP4_HUMAN;RUNX1_HUMAN;H33_HUMAN;H31_HUMAN;RPAB5_HUMAN;H2B1C_HUMAN;H4_HUMAN;RPB7_HUMAN;RPAB2_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;FOXA1_HUMAN;RPAB4_HUMAN;FOSB_HUMAN;T2AG_HUMAN;TF2AA_HUMAN;RPB11_HUMAN;RPAB3_HUMAN;IMA1_HUMAN;CDK9_HUMAN;NRIP1_HUMAN;SDF1_HUMAN;RPB9_HUMAN;T2FA_HUMAN;H2B1B_HUMAN;RPB2_HUMAN;TYY1_HUMAN;RPB1_HUMAN;CCND1_HUMAN;GATA3_HUMAN;H2B1O_HUMAN;USF1_HUMAN;H2A1D_HUMAN;TBP_HUMAN;RPAB1_HUMAN;RPB3_HUMAN;DDX5_HUMAN;JUND_HUMAN;H2AX_HUMAN;ATF2_HUMAN;PO2F1_HUMAN;T2FB_HUMAN;BCL2_HUMAN;MYB_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;HS90B_HUMAN;SP1_HUMAN;HS90A_HUMAN;CATD_HUMAN;H2B1J_HUMAN;PRGR_HUMAN;JUN_HUMAN;H2A1B_HUMAN;TFF1_HUMAN;ESR1_HUMAN;TGFA_HUMAN;MYC_HUMAN;FOS_HUMAN;KDM4B_HUMAN;ZN217_HUMAN;H2B1K_HUMAN;CCNT1_HUMAN;KDM1A_HUMAN;RAD21_HUMAN;RPB4_HUMAN;AXIN1_HUMAN;CHD1_HUMAN;RCAS1_HUMAN;
Ethanol oxidation,11,ACS2L_HUMAN;ACSA_HUMAN;ADH7_HUMAN;AL1B1_HUMAN;ADH6_HUMAN;ADHX_HUMAN;ADH4_HUMAN;ADH1A_HUMAN;ALDH2_HUMAN;AL1A1_HUMAN;ADH1G_HUMAN;
Eukaryotic Translation Elongation,6,EF1A3_HUMAN;EF1A2_HUMAN;EF1A1_HUMAN;EF1A1_HUMAN;EF1D_HUMAN;EF1G_HUMAN;
Eukaryotic Translation Termination,96,HEMK2_HUMAN;RL36_HUMAN;RL26L_HUMAN;TR112_HUMAN;RL10L_HUMAN;RL39L_HUMAN;RL36L_HUMAN;RL3L_HUMAN;RS4Y2_HUMAN;ERF3B_HUMAN;ERF3B_HUMAN;RS27L_HUMAN;RL22L_HUMAN;RL18_HUMAN;RL6_HUMAN;RL18A_HUMAN;RL19_HUMAN;RL36A_HUMAN;RL24_HUMAN;RS21_HUMAN;RL38_HUMAN;RL40_HUMAN;RS27A_HUMAN;RL41_HUMAN;RL8_HUMAN;RL11_HUMAN;RL32_HUMAN;RL10A_HUMAN;RL31_HUMAN;RL39_HUMAN;RL30_HUMAN;RS30_HUMAN;RS28_HUMAN;RS26_HUMAN;RS25_HUMAN;RS24_HUMAN;RS15_HUMAN;RL23_HUMAN;RS6_HUMAN;RL23A_HUMAN;RS4X_HUMAN;ERF1_HUMAN;ERF1_HUMAN;RL7A_HUMAN;RS11_HUMAN;RS13_HUMAN;RS29_HUMAN;RS18_HUMAN;RS23_HUMAN;RS14_HUMAN;RS16_HUMAN;RS15A_HUMAN;RS8_HUMAN;RS7_HUMAN;RL37_HUMAN;RL37A_HUMAN;RL27_HUMAN;RL15_HUMAN;RL26_HUMAN;RS3A_HUMAN;RS20_HUMAN;RL14_HUMAN;RL34_HUMAN;RL29_HUMAN;RS10_HUMAN;RS5_HUMAN;RS9_HUMAN;RL28_HUMAN;RL21_HUMAN;RL5_HUMAN;RL27A_HUMAN;RL35_HUMAN;RS27_HUMAN;RL13A_HUMAN;RL3_HUMAN;RS19_HUMAN;RL4_HUMAN;RL22_HUMAN;RL9_HUMAN;RL12_HUMAN;RL10_HUMAN;RL13_HUMAN;RS12_HUMAN;RS3_HUMAN;RS4Y1_HUMAN;RL17_HUMAN;RL7_HUMAN;RL35A_HUMAN;RS2_HUMAN;ERF3A_HUMAN;ERF3A_HUMAN;ACPH_HUMAN;RSSA_HUMAN;RS17_HUMAN;RLA0_HUMAN;RLA2_HUMAN;
Extracellular matrix organization,14,CO4A6_HUMAN;CO7A1_HUMAN;CO4A3_HUMAN;CO4A4_HUMAN;CO4A5_HUMAN;CO5A3_HUMAN;CO5A1_HUMAN;CO4A2_HUMAN;CO1A2_HUMAN;CO5A2_HUMAN;FINC_HUMAN;CO4A1_HUMAN;CO3A1_HUMAN;CO2A1_HUMAN;
Extrinsic Pathway of Fibrin Clot Formation,4,TF_HUMAN;TFPI1_HUMAN;FA7_HUMAN;FA10_HUMAN;
Factors involved in megakaryocyte development and platelet production,102,SH2B3_HUMAN;MAFF_HUMAN;MAFF_HUMAN;RCOR1_HUMAN;KAD3_HUMAN;HM20B_HUMAN;EHD2_HUMAN;EHD3_HUMAN;VPS45_HUMAN;SH2B1_HUMAN;DOCK5_HUMAN;EHD1_HUMAN;RBNS5_HUMAN;DOCK9_HUMAN;GATA5_HUMAN;CABL2_HUMAN;SIN3A_HUMAN;DOCK7_HUMAN;DOCK6_HUMAN;DOC10_HUMAN;PF21A_HUMAN;GATA6_HUMAN;HDAC2_HUMAN;AKAP1_HUMAN;DOCK2_HUMAN;FOG2_HUMAN;MICA1_HUMAN;CABL1_HUMAN;DOCK8_HUMAN;DOCK4_HUMAN;DOCK3_HUMAN;FOG1_HUMAN;MFN1_HUMAN;H32_HUMAN;LR16A_HUMAN;DOC11_HUMAN;NFE2_HUMAN;NFE2_HUMAN;JHD2C_HUMAN;DOCK1_HUMAN;ITPK1_HUMAN;HDAC1_HUMAN;CDK5_HUMAN;H33_HUMAN;HBG2_HUMAN;HBG1_HUMAN;HBB_HUMAN;H31_HUMAN;RAC1_HUMAN;CDC42_HUMAN;ACTB_HUMAN;CAZA1_HUMAN;CAZA1_HUMAN;CAPZB_HUMAN;CAPZB_HUMAN;CAZA2_HUMAN;CAZA2_HUMAN;CBX5_HUMAN;GATA4_HUMAN;IFNA8_HUMAN;KAP3_HUMAN;KAP1_HUMAN;WEE1_HUMAN;CDK2_HUMAN;GATA3_HUMAN;GATA2_HUMAN;KAPCB_HUMAN;KAPCG_HUMAN;RAB5A_HUMAN;KAPCA_HUMAN;GATA1_HUMAN;IRF2_HUMAN;KAP2_HUMAN;IRF1_HUMAN;KAP0_HUMAN;MYB_HUMAN;IFN16_HUMAN;IFNA4_HUMAN;IFNA6_HUMAN;P53_HUMAN;HBE_HUMAN;HBD_HUMAN;IFNB_HUMAN;IFN17_HUMAN;IFN14_HUMAN;IFNA5_HUMAN;IFN21_HUMAN;IFNA7_HUMAN;IFN10_HUMAN;IFNA2_HUMAN;IFNA1_HUMAN;ABL1_HUMAN;MFN2_HUMAN;MAFK_HUMAN;MAFK_HUMAN;JAK2_HUMAN;KDM1A_HUMAN;AKA10_HUMAN;RA51C_HUMAN;MAFG_HUMAN;MAFG_HUMAN;RA51B_HUMAN;
Fanconi Anemia Pathway,37,FAN1_HUMAN;FANCL_HUMAN;FANCI_HUMAN;FANCF_HUMAN;UBE2T_HUMAN;FANCE_HUMAN;DCR1B_HUMAN;FACD2_HUMAN;FAP24_HUMAN;SLX1_HUMAN;MUS81_HUMAN;EME1_HUMAN;XPF_HUMAN;ATRIP_HUMAN;WDR48_HUMAN;FANCB_HUMAN;CENPS_HUMAN;FANCM_HUMAN;SLX4_HUMAN;DPOLN_HUMAN;DCR1A_HUMAN;FAP20_HUMAN;ATR_HUMAN;FP100_HUMAN;FANCC_HUMAN;RL40_HUMAN;RS27A_HUMAN;RFA3_HUMAN;RFA1_HUMAN;RFA2_HUMAN;UBC_HUMAN;UBB_HUMAN;ERCC1_HUMAN;UBP1_HUMAN;FANCA_HUMAN;FANCG_HUMAN;CENPX_HUMAN;
FasL/ CD95L signaling,4,CASPA_HUMAN;CASP8_HUMAN;FADD_HUMAN;TNFL6_HUMAN;
Fatty acids,14,CP4FC_HUMAN;CP4FB_HUMAN;CP4FN_HUMAN;CP4AM_HUMAN;CP2AD_HUMAN;CP4F3_HUMAN;CP4AB_HUMAN;CP4F8_HUMAN;CP4F2_HUMAN;CP2J2_HUMAN;CP2F1_HUMAN;CP2A7_HUMAN;CP2B6_HUMAN;CP4B1_HUMAN;
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,14,PLCB1_HUMAN;PLCB1_HUMAN;PLCB3_HUMAN;PLCB3_HUMAN;PLCB2_HUMAN;PLCB2_HUMAN;GNAQ_HUMAN;GNAQ_HUMAN;GNA15_HUMAN;GNA15_HUMAN;GNA11_HUMAN;GNA11_HUMAN;GNA14_HUMAN;GNA14_HUMAN;
Fatty acyl-CoA biosynthesis,13,MORC2_HUMAN;PPT2_HUMAN;SAST_HUMAN;DHB8_HUMAN;CBR4_HUMAN;SCD5_HUMAN;ACACA_HUMAN;HTD2_HUMAN;ACLY_HUMAN;TXTP_HUMAN;PPT1_HUMAN;FAS_HUMAN;FAS_HUMAN;
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,54,PSD13_HUMAN;PSME2_HUMAN;FBXL7_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;FXL18_HUMAN;PSMF1_HUMAN;PSA7L_HUMAN;PSMD5_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;CUL1_HUMAN;PSMD2_HUMAN;PSME1_HUMAN;SKP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;RBX1_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;PSA6_HUMAN;DSS1_HUMAN;PSMD4_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;PSB10_HUMAN;PRS7_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;PSB1_HUMAN;PRS6A_HUMAN;UBC_HUMAN;UBB_HUMAN;PSD10_HUMAN;PSMD3_HUMAN;AURKA_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;
Fc epsilon receptor (FCERI) signaling,122,FCERB_HUMAN;FCERB_HUMAN;LV302_HUMAN;LV302_HUMAN;KSYK_HUMAN;KSYK_HUMAN;FCERG_HUMAN;FCERG_HUMAN;HV103_HUMAN;HV103_HUMAN;FCERA_HUMAN;FCERA_HUMAN;LAC3_HUMAN;LAC3_HUMAN;LAC2_HUMAN;LAC2_HUMAN;LAC1_HUMAN;LAC1_HUMAN;LAC6_HUMAN;LAC6_HUMAN;LYN_HUMAN;LYN_HUMAN;HV209_HUMAN;HV209_HUMAN;KV501_HUMAN;KV501_HUMAN;KV401_HUMAN;KV401_HUMAN;KV206_HUMAN;KV206_HUMAN;KV309_HUMAN;KV309_HUMAN;KV124_HUMAN;KV124_HUMAN;KV122_HUMAN;KV122_HUMAN;LV001_HUMAN;LV001_HUMAN;IGHE_HUMAN;IGHE_HUMAN;IGKC_HUMAN;IGKC_HUMAN;HV207_HUMAN;HV207_HUMAN;HV206_HUMAN;HV206_HUMAN;HV204_HUMAN;HV204_HUMAN;HV201_HUMAN;HV201_HUMAN;HV321_HUMAN;HV321_HUMAN;HV319_HUMAN;HV319_HUMAN;HV311_HUMAN;HV311_HUMAN;HV307_HUMAN;HV307_HUMAN;HV306_HUMAN;HV306_HUMAN;HV305_HUMAN;HV305_HUMAN;HV303_HUMAN;HV303_HUMAN;HV302_HUMAN;HV302_HUMAN;HV301_HUMAN;HV301_HUMAN;HV102_HUMAN;HV102_HUMAN;HV101_HUMAN;HV101_HUMAN;LV601_HUMAN;LV601_HUMAN;LV404_HUMAN;LV404_HUMAN;LV403_HUMAN;LV403_HUMAN;LV401_HUMAN;LV401_HUMAN;LV301_HUMAN;LV301_HUMAN;LV206_HUMAN;LV206_HUMAN;LV203_HUMAN;LV203_HUMAN;LV202_HUMAN;LV202_HUMAN;LV201_HUMAN;LV201_HUMAN;LV105_HUMAN;LV105_HUMAN;LV103_HUMAN;LV103_HUMAN;LV102_HUMAN;LV102_HUMAN;LV101_HUMAN;LV101_HUMAN;KV306_HUMAN;KV306_HUMAN;KV301_HUMAN;KV301_HUMAN;KV202_HUMAN;KV202_HUMAN;KV201_HUMAN;KV201_HUMAN;KV119_HUMAN;KV119_HUMAN;KV110_HUMAN;KV110_HUMAN;KV109_HUMAN;KV109_HUMAN;KV107_HUMAN;KV107_HUMAN;KV105_HUMAN;KV105_HUMAN;KV102_HUMAN;KV102_HUMAN;KV101_HUMAN;KV101_HUMAN;LAT_HUMAN;LAC7_HUMAN;
FCERI mediated Ca+2 mobilization,159,VAV3_HUMAN;VAV3_HUMAN;ITPR1_HUMAN;ITPR3_HUMAN;ITPR2_HUMAN;NFAC2_HUMAN;LCP2_HUMAN;LCP2_HUMAN;NFAC3_HUMAN;ITK_HUMAN;ITK_HUMAN;PP2BA_HUMAN;SOS1_HUMAN;SOS1_HUMAN;BTK_HUMAN;BTK_HUMAN;FCERB_HUMAN;FCERB_HUMAN;LV302_HUMAN;LV302_HUMAN;CANB1_HUMAN;VAV2_HUMAN;VAV2_HUMAN;KSYK_HUMAN;KSYK_HUMAN;TXK_HUMAN;TXK_HUMAN;TEC_HUMAN;TEC_HUMAN;FCERG_HUMAN;FCERG_HUMAN;SHC1_HUMAN;SHC1_HUMAN;HV103_HUMAN;HV103_HUMAN;PLCG1_HUMAN;PLCG1_HUMAN;PLCG2_HUMAN;PLCG2_HUMAN;PP2BB_HUMAN;VAV_HUMAN;VAV_HUMAN;FCERA_HUMAN;FCERA_HUMAN;LAC3_HUMAN;LAC3_HUMAN;LAC2_HUMAN;LAC2_HUMAN;LAC1_HUMAN;LAC1_HUMAN;LAC6_HUMAN;LAC6_HUMAN;LYN_HUMAN;LYN_HUMAN;HV209_HUMAN;HV209_HUMAN;KV501_HUMAN;KV501_HUMAN;KV401_HUMAN;KV401_HUMAN;KV206_HUMAN;KV206_HUMAN;KV309_HUMAN;KV309_HUMAN;KV124_HUMAN;KV124_HUMAN;KV122_HUMAN;KV122_HUMAN;LV001_HUMAN;LV001_HUMAN;IGHE_HUMAN;IGHE_HUMAN;IGKC_HUMAN;IGKC_HUMAN;HV207_HUMAN;HV207_HUMAN;HV206_HUMAN;HV206_HUMAN;HV204_HUMAN;HV204_HUMAN;HV201_HUMAN;HV201_HUMAN;HV321_HUMAN;HV321_HUMAN;HV319_HUMAN;HV319_HUMAN;HV311_HUMAN;HV311_HUMAN;HV307_HUMAN;HV307_HUMAN;HV306_HUMAN;HV306_HUMAN;HV305_HUMAN;HV305_HUMAN;HV303_HUMAN;HV303_HUMAN;HV302_HUMAN;HV302_HUMAN;HV301_HUMAN;HV301_HUMAN;HV102_HUMAN;HV102_HUMAN;HV101_HUMAN;HV101_HUMAN;LV601_HUMAN;LV601_HUMAN;LV404_HUMAN;LV404_HUMAN;LV403_HUMAN;LV403_HUMAN;LV401_HUMAN;LV401_HUMAN;LV301_HUMAN;LV301_HUMAN;LV206_HUMAN;LV206_HUMAN;LV203_HUMAN;LV203_HUMAN;LV202_HUMAN;LV202_HUMAN;LV201_HUMAN;LV201_HUMAN;LV105_HUMAN;LV105_HUMAN;LV103_HUMAN;LV103_HUMAN;LV102_HUMAN;LV102_HUMAN;LV101_HUMAN;LV101_HUMAN;KV306_HUMAN;KV306_HUMAN;KV301_HUMAN;KV301_HUMAN;KV202_HUMAN;KV202_HUMAN;KV201_HUMAN;KV201_HUMAN;KV119_HUMAN;KV119_HUMAN;KV110_HUMAN;KV110_HUMAN;KV109_HUMAN;KV109_HUMAN;KV107_HUMAN;KV107_HUMAN;KV105_HUMAN;KV105_HUMAN;KV102_HUMAN;KV102_HUMAN;KV101_HUMAN;KV101_HUMAN;NFAC1_HUMAN;GRAP2_HUMAN;GRAP2_HUMAN;SAHH2_HUMAN;LAT_HUMAN;LAT_HUMAN;LAC7_HUMAN;
FCERI mediated MAPK activation,89,VAV3_HUMAN;M3K1_HUMAN;M3K1_HUMAN;PAK2_HUMAN;PAK2_HUMAN;PAK1_HUMAN;PAK1_HUMAN;LCP2_HUMAN;SOS1_HUMAN;FCERB_HUMAN;LV302_HUMAN;RAC1_HUMAN;MK10_HUMAN;VAV2_HUMAN;MP2K4_HUMAN;MK09_HUMAN;MK08_HUMAN;KSYK_HUMAN;FCERG_HUMAN;SHC1_HUMAN;MK01_HUMAN;MK03_HUMAN;HV103_HUMAN;PLCG1_HUMAN;PLCG2_HUMAN;VAV_HUMAN;FCERA_HUMAN;LAC3_HUMAN;LAC2_HUMAN;LAC1_HUMAN;LAC6_HUMAN;LYN_HUMAN;HV209_HUMAN;KV501_HUMAN;KV401_HUMAN;KV206_HUMAN;JUN_HUMAN;KV309_HUMAN;KV124_HUMAN;KV122_HUMAN;LV001_HUMAN;IGHE_HUMAN;IGKC_HUMAN;HV207_HUMAN;HV206_HUMAN;HV204_HUMAN;HV201_HUMAN;HV321_HUMAN;HV319_HUMAN;HV311_HUMAN;HV307_HUMAN;HV306_HUMAN;HV305_HUMAN;HV303_HUMAN;HV302_HUMAN;HV301_HUMAN;HV102_HUMAN;HV101_HUMAN;LV601_HUMAN;LV404_HUMAN;LV403_HUMAN;LV401_HUMAN;LV301_HUMAN;LV206_HUMAN;LV203_HUMAN;LV202_HUMAN;LV201_HUMAN;LV105_HUMAN;LV103_HUMAN;LV102_HUMAN;LV101_HUMAN;KV306_HUMAN;KV301_HUMAN;KV202_HUMAN;KV201_HUMAN;KV119_HUMAN;KV110_HUMAN;KV109_HUMAN;KV107_HUMAN;KV105_HUMAN;KV102_HUMAN;KV101_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;FOS_HUMAN;GRAP2_HUMAN;LAT_HUMAN;MP2K7_HUMAN;
