pathway,m,proteins
Beta2 integrin cell surface interactions,29,BGH3_HUMAN;FA10_HUMAN;FIBG_HUMAN;FIBA_HUMAN;FCG2A_HUMAN;ITAL_HUMAN;ICAM3_HUMAN;SPON2_HUMAN;KNG1_HUMAN;JAM3_HUMAN;CD40L_HUMAN;GP1BA_HUMAN;CO3_HUMAN;VCAM1_HUMAN;ITAD_HUMAN;ICAM1_HUMAN;UROK_HUMAN;ITAM_HUMAN;ITB2_HUMAN;TPA_HUMAN;ITAX_HUMAN;UPAR_HUMAN;ICAM4_HUMAN;ICAM2_HUMAN;CYR61_HUMAN;JAM1_HUMAN;FIBB_HUMAN;PROC_HUMAN;THY1_HUMAN;
IL8- and CXCR1-mediated signaling events,29,CXCR1_HUMAN;HCK_HUMAN;;GBB1_HUMAN;PDPK1_HUMAN;RAB5A_HUMAN;KPCA_HUMAN;CBL_HUMAN;PI3R6_HUMAN;PLCB2_HUMAN;ARBK1_HUMAN;PLCB1_HUMAN;LYN_HUMAN;KPCG_HUMAN;;GNAI2_HUMAN;GNA15_HUMAN;PLD1_HUMAN;ARRB2_HUMAN;DYN1_HUMAN;PLCB3_HUMAN;KPCE_HUMAN;GBG2_HUMAN;FGR_HUMAN;GNA14_HUMAN;PK3CG_HUMAN;IL8_HUMAN;AKT1_HUMAN;ARRB1_HUMAN;
Integrin family cell surface interactions,29,ITA2B_HUMAN;;ITA3_HUMAN;ITA8_HUMAN;ITA5_HUMAN;ITB1_HUMAN;ITAE_HUMAN;ITAL_HUMAN;ITAM_HUMAN;ITB5_HUMAN;ITB8_HUMAN;ITA11_HUMAN;ITB4_HUMAN;;ITA6_HUMAN;ITA2_HUMAN;ITA10_HUMAN;ITA1_HUMAN;ITAD_HUMAN;ITB2_HUMAN;ITB3_HUMAN;ITA7_HUMAN;ITAV_HUMAN;ITB6_HUMAN;ITB7_HUMAN;;ITA9_HUMAN;ITA4_HUMAN;ITAX_HUMAN;
Reelin signaling pathway,29,LRP8_HUMAN;ITA3_HUMAN;CBL_HUMAN;MK08_HUMAN;MAP1B_HUMAN;MP2K7_HUMAN;NCK2_HUMAN;TAU_HUMAN;P85A_HUMAN;CRKL_HUMAN;ARHG2_HUMAN;AMRP_HUMAN;GSK3B_HUMAN;VLDLR_HUMAN;RPGF1_HUMAN;DAB1_HUMAN;CD5R1_HUMAN;AKT1_HUMAN;M3K11_HUMAN;ITB1_HUMAN;RELN_HUMAN;RAP1A_HUMAN;PK3CA_HUMAN;CDK5_HUMAN;;FYN_HUMAN;NMDE2_HUMAN;LIS1_HUMAN;NMDE1_HUMAN;
Glypican 1 network,28,BLK_HUMAN;SRC_HUMAN;TGFB3_HUMAN;NRG1_HUMAN;FGR_HUMAN;FGF2_HUMAN;PA2GA_HUMAN;HCK_HUMAN;TGFB2_HUMAN;VEGFA_HUMAN;TGFR1_HUMAN;YES_HUMAN;FGFR1_HUMAN;TGFB1_HUMAN;LYN_HUMAN;LAMA1_HUMAN;;A4_HUMAN;TGFR2_HUMAN;LCK_HUMAN;SMAD2_HUMAN;SLIT2_HUMAN;FYN_HUMAN;ANT3_HUMAN;GPC1_HUMAN;TDGF1_HUMAN;PRIO_HUMAN;VGFR1_HUMAN;
TRAIL signaling pathway,28,CFLAR_HUMAN;P55G_HUMAN;NEMO_HUMAN;MK01_HUMAN;MP2K4_HUMAN;PK3CB_HUMAN;MK08_HUMAN;TR10A_HUMAN;TR10D_HUMAN;MK03_HUMAN;FADD_HUMAN;TR10C_HUMAN;TR10B_HUMAN;RT29_HUMAN;TNF10_HUMAN;TRADD_HUMAN;CASPA_HUMAN;IKKB_HUMAN;RIPK1_HUMAN;CASP8_HUMAN;ASM_HUMAN;IKKA_HUMAN;M3K1_HUMAN;P85B_HUMAN;P85A_HUMAN;TRAF2_HUMAN;PK3CD_HUMAN;PK3CA_HUMAN;
VEGFR1 specific signals,28,HIF1A_HUMAN;HS90A_HUMAN;AKT1_HUMAN;VEGFB_HUMAN;PLCG1_HUMAN;MK01_HUMAN;;;NOS3_HUMAN;MK03_HUMAN;NRP1_HUMAN;RASA1_HUMAN;CBL_HUMAN;CD2AP_HUMAN;KPCA_HUMAN;PTN11_HUMAN;CAV1_HUMAN;PK3CA_HUMAN;SHC2_HUMAN;VEGFA_HUMAN;P85A_HUMAN;NRP2_HUMAN;PLGF_HUMAN;NCK1_HUMAN;VGFR1_HUMAN;PDPK1_HUMAN;CALM_HUMAN;KAPCA_HUMAN;
Wnt signaling network,28,DKK1_HUMAN;WNT3A_HUMAN;FZD9_HUMAN;WNT2_HUMAN;WNT7A_HUMAN;IBP4_HUMAN;WNT1_HUMAN;FZD8_HUMAN;FZD1_HUMAN;KREM2_HUMAN;LRP6_HUMAN;KREM1_HUMAN;FZD2_HUMAN;LRP5_HUMAN;FZD6_HUMAN;RSPO1_HUMAN;WNT7B_HUMAN;FZD4_HUMAN;CTHR1_HUMAN;WNT5A_HUMAN;RYK_HUMAN;FZD5_HUMAN;RENR_HUMAN;WNT3_HUMAN;ROR2_HUMAN;WIF1_HUMAN;FZD10_HUMAN;FZD7_HUMAN;
IL3-mediated signaling events,27,JAK2_HUMAN;STA5A_HUMAN;IL3RA_HUMAN;GAB2_HUMAN;IL3RB_HUMAN;HDAC1_HUMAN;B2CL1_HUMAN;1433Z_HUMAN;KAPCG_HUMAN;KAPCA_HUMAN;P85A_HUMAN;STA5B_HUMAN;PTN11_HUMAN;GRB2_HUMAN;1433G_HUMAN;CEBPB_HUMAN;CNKR1_HUMAN;SHC1_HUMAN;IL3_HUMAN;SHIP1_HUMAN;SRP09_HUMAN;CISH_HUMAN;ID1_HUMAN;PIM1_HUMAN;KAPCB_HUMAN;ONCM_HUMAN;PK3CA_HUMAN;
Insulin-mediated glucose transport,27,GTR4_HUMAN;KPCZ_HUMAN;1433G_HUMAN;AKT1_HUMAN;INSR_HUMAN;LCAP_HUMAN;1433S_HUMAN;1433E_HUMAN;KPCI_HUMAN;1433B_HUMAN;STX4_HUMAN;1433Z_HUMAN;GYS1_HUMAN;PPR3A_HUMAN;TBCD4_HUMAN;RHOQ_HUMAN;INS_HUMAN;1433T_HUMAN;CIP4_HUMAN;GSK3B_HUMAN;AKT2_HUMAN;VAMP2_HUMAN;STXB4_HUMAN;ASIP_HUMAN;CALM_HUMAN;PP1G_HUMAN;1433F_HUMAN;
p38 MAPK signaling pathway,27,TAOK1_HUMAN;GA45B_HUMAN;TAB1_HUMAN;M3K5_HUMAN;M3K10_HUMAN;THIO_HUMAN;M3K3_HUMAN;M3K7_HUMAN;TAB2_HUMAN;M3K6_HUMAN;TRAF2_HUMAN;TRAF6_HUMAN;MP2K6_HUMAN;M3K4_HUMAN;TAOK3_HUMAN;CCM2_HUMAN;MK11_HUMAN;MP2K3_HUMAN;KCC2B_HUMAN;RAC1_HUMAN;GA45G_HUMAN;GA45A_HUMAN;M3K1_HUMAN;MK14_HUMAN;ATM_HUMAN;CALM_HUMAN;TAOK2_HUMAN;
Signaling events mediated by HDAC Class III,27,SIR3_HUMAN;HXA10_HUMAN;H4_HUMAN;MYOD1_HUMAN;FOXO1_HUMAN;SIR7_HUMAN;FOXO4_HUMAN;PRGC1_HUMAN;CBP_HUMAN;HDAC4_HUMAN;BAX_HUMAN;P53_HUMAN;MEF2D_HUMAN;ACS2L_HUMAN;XRCC6_HUMAN;FHL2_HUMAN;SIR1_HUMAN;FOXO3_HUMAN;EP300_HUMAN;ACSA_HUMAN;SIR2_HUMAN;KAT2B_HUMAN;CDN1A_HUMAN;H14_HUMAN;;TBB2A_HUMAN;TBA1B_HUMAN;
ALK1 signaling events,26,GDF2_HUMAN;SMAD1_HUMAN;SMAD9_HUMAN;MK03_HUMAN;BMPR2_HUMAN;CAV1_HUMAN;ACVR1_HUMAN;INHBA_HUMAN;AVR2B_HUMAN;;CSK2B_HUMAN;SMAD4_HUMAN;PP1A_HUMAN;TGFB1_HUMAN;ARRB2_HUMAN;TGFR1_HUMAN;ID1_HUMAN;TGFB3_HUMAN;SMAD5_HUMAN;TGFR2_HUMAN;FKB1A_HUMAN;AVR2A_HUMAN;TLX2_HUMAN;ACVL1_HUMAN;MK01_HUMAN;SMAD7_HUMAN;
IL27-mediated signaling events,26,I12R2_HUMAN;IL27B_HUMAN;IL1B_HUMAN;IL12B_HUMAN;STAT1_HUMAN;STAT4_HUMAN;STAT3_HUMAN;GATA3_HUMAN;TYK2_HUMAN;STA5A_HUMAN;TBX21_HUMAN;IL6_HUMAN;TNFA_HUMAN;IL2_HUMAN;TGFB1_HUMAN;JAK1_HUMAN;IL12A_HUMAN;I27RA_HUMAN;IFNG_HUMAN;IL17_HUMAN;JAK2_HUMAN;I12R1_HUMAN;IL27A_HUMAN;STAT2_HUMAN;IL18_HUMAN;IL6RB_HUMAN;
Alpha9 beta1 integrin signaling events,25,RAC1_HUMAN;NOS2_HUMAN;ITB1_HUMAN;ADAM8_HUMAN;VEGFA_HUMAN;BCAR1_HUMAN;SRC_HUMAN;ITA9_HUMAN;F13A_HUMAN;VEGFD_HUMAN;VEGFC_HUMAN;IRK15_HUMAN;TENA_HUMAN;SAT1_HUMAN;PAXI_HUMAN;PAOX_HUMAN;FINC_HUMAN;OSTP_HUMAN;TGM2_HUMAN;ADAM2_HUMAN;ADA12_HUMAN;VCAM1_HUMAN;CSF2R_HUMAN;ADA15_HUMAN;CSF2_HUMAN;
C-MYC pathway,25,2A5A_HUMAN;PAK2_HUMAN;SKP2_HUMAN;KAT2A_HUMAN;TRRAP_HUMAN;RUVB1_HUMAN;TAF12_HUMAN;TAF10_HUMAN;KAT5_HUMAN;RUVB2_HUMAN;PP2AA_HUMAN;GSK3B_HUMAN;MYC_HUMAN;ST65G_HUMAN;TAF9_HUMAN;HBP1_HUMAN;AXIN1_HUMAN;;MAX_HUMAN;PIN1_HUMAN;SUPT3_HUMAN;;ZBT17_HUMAN;ACL6A_HUMAN;;
Endogenous TLR signaling,25,HMGB1_HUMAN;CSPG2_HUMAN;PGS1_HUMAN;TCAM1_HUMAN;TLR3_HUMAN;IRAK4_HUMAN;TLR6_HUMAN;TLR4_HUMAN;TLR1_HUMAN;IKKB_HUMAN;IKKA_HUMAN;SAA_HUMAN;CH60_HUMAN;SFTA1_HUMAN;CD14_HUMAN;NEMO_HUMAN;LY96_HUMAN;S10A9_HUMAN;S10A8_HUMAN;TIRAP_HUMAN;IRAK1_HUMAN;MYD88_HUMAN;IRAK2_HUMAN;RHOA_HUMAN;TLR2_HUMAN;
S1P2 pathway,25,GNAI2_HUMAN;RAC1_HUMAN;GNAO_HUMAN;GNAO_HUMAN;GNA14_HUMAN;MK14_HUMAN;GNA13_HUMAN;JUN_HUMAN;GNAZ_HUMAN;RHOA_HUMAN;MK08_HUMAN;CADH5_HUMAN;FOS_HUMAN;ELK1_HUMAN;MK01_HUMAN;GNA15_HUMAN;GNA12_HUMAN;GNA11_HUMAN;MK03_HUMAN;PAK1_HUMAN;GNAI1_HUMAN;IRS1_HUMAN;S1PR2_HUMAN;GNAQ_HUMAN;GNAI3_HUMAN;
VEGFR3 signaling in lymphatic endothelium,25,VGFR3_HUMAN;KS6A1_HUMAN;;ITA5_HUMAN;CRK_HUMAN;GRB2_HUMAN;MP2K4_HUMAN;CO1A1_HUMAN;P85A_HUMAN;ITA1_HUMAN;AKT1_HUMAN;VEGFD_HUMAN;VEGFC_HUMAN;MK03_HUMAN;ITA4_HUMAN;FINC_HUMAN;CO1A2_HUMAN;SOS1_HUMAN;CREB1_HUMAN;ITA2_HUMAN;MK01_HUMAN;ITB1_HUMAN;PK3CA_HUMAN;MK14_HUMAN;MK11_HUMAN;
Plexin-D1 Signaling,24,SEM4A_HUMAN;RRAS_HUMAN;ITA7_HUMAN;;ITA11_HUMAN;ARF6_HUMAN;ITA9_HUMAN;PI51B_HUMAN;NRP1_HUMAN;ITA5_HUMAN;ITA10_HUMAN;SEM3E_HUMAN;ITA6_HUMAN;ITA3_HUMAN;ITA4_HUMAN;ITA2_HUMAN;PLXD1_HUMAN;RND2_HUMAN;ITAV_HUMAN;ITA1_HUMAN;IQEC1_HUMAN;ITB1_HUMAN;ITA8_HUMAN;SEM3C_HUMAN;
Visual signal transduction: Rods,24,NCKX1_HUMAN;GNAT1_HUMAN;ARRS_HUMAN;RPE65_HUMAN;PDE6B_HUMAN;PDE6A_HUMAN;RDH1_HUMAN;CNGB1_HUMAN;RK_HUMAN;LRAT_HUMAN;GBB1_HUMAN;RDH12_HUMAN;GUC1A_HUMAN;CNRG_HUMAN;CNGA1_HUMAN;GBG1_HUMAN;GUC2F_HUMAN;GUC1C_HUMAN;R9BP_HUMAN;OPSD_HUMAN;GUC2D_HUMAN;GUC1B_HUMAN;GBB5_HUMAN;RGS9_HUMAN;
Canonical NF-kappaB pathway,23,CYLD_HUMAN;UB2D3_HUMAN;TNAP3_HUMAN;IKBA_HUMAN;XPO1_HUMAN;MALT1_HUMAN;BIRC2_HUMAN;TRAF6_HUMAN;NOD2_HUMAN;KPCA_HUMAN;TF65_HUMAN;RAN_HUMAN;TNFA_HUMAN;NEMO_HUMAN;NFKB1_HUMAN;SSPO_HUMAN;IKKB_HUMAN;RIPK2_HUMAN;BCL10_HUMAN;IKKA_HUMAN;ATM_HUMAN;RB6I2_HUMAN;TNR1A_HUMAN;
Signaling events mediated by PRL,23,ITA1_HUMAN;PGTA_HUMAN;CCNE1_HUMAN;MK03_HUMAN;PGTB2_HUMAN;CDK2_HUMAN;TBA1B_HUMAN;RHOC_HUMAN;ATF5_HUMAN;TP4A2_HUMAN;ROCK1_HUMAN;SRC_HUMAN;BCAR1_HUMAN;EGR1_HUMAN;RHOA_HUMAN;ITB1_HUMAN;TP4A3_HUMAN;MK01_HUMAN;TP4A1_HUMAN;CCNA2_HUMAN;CDN1A_HUMAN;RAC1_HUMAN;ANGT_HUMAN;
Visual signal transduction: Cones,23,ARRC_HUMAN;GUC2D_HUMAN;NCKX2_HUMAN;RK_HUMAN;GBB5_HUMAN;RDH12_HUMAN;GRK7_HUMAN;GUC2F_HUMAN;PDE6C_HUMAN;RPE65_HUMAN;CNGA3_HUMAN;GUC1B_HUMAN;RDH1_HUMAN;CNGB3_HUMAN;RGS9_HUMAN;GNAT2_HUMAN;CNCG_HUMAN;GBGT2_HUMAN;GUC1A_HUMAN;R9BP_HUMAN;LRAT_HUMAN;GUC1C_HUMAN;GBB3_HUMAN;
Cellular roles of Anthrax toxin,22,;MP2K4_HUMAN;MP2K1_HUMAN;TNFA_HUMAN;PRGR_HUMAN;IL1B_HUMAN;CASP1_HUMAN;VCAM1_HUMAN;DEF1_HUMAN;MP2K2_HUMAN;ANTR1_HUMAN;;ANTR2_HUMAN;MK01_HUMAN;MK03_HUMAN;CALM_HUMAN;MP2K3_HUMAN;NALP1_HUMAN;IL18_HUMAN;;MP2K7_HUMAN;MP2K6_HUMAN;
PDGFR-alpha signaling pathway,22,JUN_HUMAN;PLCG1_HUMAN;CRK_HUMAN;CSK21_HUMAN;IFNG_HUMAN;ELK1_HUMAN;PGFRA_HUMAN;FOS_HUMAN;PK3CA_HUMAN;P85A_HUMAN;CAV1_HUMAN;CAV3_HUMAN;ITAV_HUMAN;JAK1_HUMAN;RPGF1_HUMAN;SHF_HUMAN;SOS1_HUMAN;CRKL_HUMAN;GRB2_HUMAN;SRF_HUMAN;SHC1_HUMAN;SHB_HUMAN;
S1P1 pathway,22,PLCG1_HUMAN;RHOA_HUMAN;VGFR2_HUMAN;GNAO_HUMAN;PGH2_HUMAN;MK01_HUMAN;S1PR1_HUMAN;VEGFA_HUMAN;ITAV_HUMAN;SPHK1_HUMAN;GNAO_HUMAN;RAC1_HUMAN;ITB3_HUMAN;GNAZ_HUMAN;PLCB2_HUMAN;PGFRB_HUMAN;MRP1_HUMAN;GNAI2_HUMAN;PDGFB_HUMAN;GNAI3_HUMAN;MK03_HUMAN;GNAI1_HUMAN;
Signaling events mediated by the Hedgehog family,22,CDON_HUMAN;SMO_HUMAN;ARRB2_HUMAN;STIL_HUMAN;GLI2_HUMAN;IHH_HUMAN;HHAT_HUMAN;HHIP_HUMAN;AMRP_HUMAN;DHH_HUMAN;GAS1_HUMAN;PTC1_HUMAN;ARBK1_HUMAN;P85A_HUMAN;SHH_HUMAN;PTHR_HUMAN;TGFB2_HUMAN;BOC_HUMAN;AKT1_HUMAN;PK3CA_HUMAN;PTC2_HUMAN;LRP2_HUMAN;
Sphingosine 1-phosphate (S1P) pathway,22,MRP1_HUMAN;S1PR1_HUMAN;S1PR3_HUMAN;GNAQ_HUMAN;GNA14_HUMAN;SGPL1_HUMAN;GNA13_HUMAN;GNAI3_HUMAN;GNA12_HUMAN;S1PR2_HUMAN;S1PR5_HUMAN;SPHK2_HUMAN;GNAO_HUMAN;GNAI1_HUMAN;S1PR4_HUMAN;GNAI2_HUMAN;GNA11_HUMAN;SPHK1_HUMAN;GNAO_HUMAN;GNAZ_HUMAN;SGPP1_HUMAN;GNA15_HUMAN;
E-cadherin signaling in keratinocytes,21,CADH1_HUMAN;PLAK_HUMAN;AKT2_HUMAN;PLCG1_HUMAN;VASP_HUMAN;RAC1_HUMAN;CTNB1_HUMAN;FYN_HUMAN;P85A_HUMAN;AJUBA_HUMAN;AKT1_HUMAN;EGFR_HUMAN;PI51A_HUMAN;RHOA_HUMAN;CTNA1_HUMAN;CASR_HUMAN;SRC_HUMAN;FMN1_HUMAN;ZYX_HUMAN;PK3CA_HUMAN;CTND1_HUMAN;
p38 signaling mediated by MAPKAP kinases,21,1433Z_HUMAN;MAPK2_HUMAN;LSP1_HUMAN;1433G_HUMAN;CREB1_HUMAN;TFE2_HUMAN;MK11_HUMAN;SRF_HUMAN;TY3H_HUMAN;RAF1_HUMAN;1433S_HUMAN;MK14_HUMAN;MPIP2_HUMAN;1433E_HUMAN;1433B_HUMAN;HSPB1_HUMAN;1433T_HUMAN;ETV1_HUMAN;MAPK3_HUMAN;TSC2_HUMAN;1433F_HUMAN;
Canonical Wnt signaling pathway,20,LRP6_HUMAN;GSK3A_HUMAN;AXIN1_HUMAN;CUL3_HUMAN;WNT3A_HUMAN;DVL3_HUMAN;GSK3B_HUMAN;FZD5_HUMAN;2A5A_HUMAN;KC1G1_HUMAN;DVL1_HUMAN;P4K2A_HUMAN;CTNB1_HUMAN;DVL2_HUMAN;APC_HUMAN;NKD2_HUMAN;PI51B_HUMAN;RANB3_HUMAN;KLH12_HUMAN;CAV1_HUMAN;
Arf1 pathway,19,CD4_HUMAN;CLCB_HUMAN;PLD2_HUMAN;ASAP1_HUMAN;PI51A_HUMAN;CLCA_HUMAN;ARFP2_HUMAN;ARF1_HUMAN;ARFG1_HUMAN;ERD21_HUMAN;RAC1_HUMAN;AP2M1_HUMAN;COPA_HUMAN;USO1_HUMAN;GOSR2_HUMAN;AP2A1_HUMAN;CYH2_HUMAN;GGA3_HUMAN;GBF1_HUMAN;
EPHA2 forward signaling,19,P85A_HUMAN;;CBL_HUMAN;SHIP2_HUMAN;;VAV3_HUMAN;RAC1_HUMAN;PK3CA_HUMAN;RHG35_HUMAN;GRB2_HUMAN;VAV2_HUMAN;PAK1_HUMAN;EPHA2_HUMAN;TIAM1_HUMAN;BCAR1_HUMAN;RHOA_HUMAN;PPAC_HUMAN;EFNA1_HUMAN;SRC_HUMAN;
Hypoxic and oxygen homeostasis regulation of HIF-1-alpha,19,RBX1_HUMAN;HS90A_HUMAN;HIF1A_HUMAN;P53_HUMAN;OS9_HUMAN;ELOC_HUMAN;;EGLN3_HUMAN;EGLN1_HUMAN;NAA10_HUMAN;CSN5_HUMAN;ELOB_HUMAN;ARNT_HUMAN;CUL2_HUMAN;HIF3A_HUMAN;VHL_HUMAN;HIF1N_HUMAN;GBLP_HUMAN;EGLN2_HUMAN;
Beta5 beta6 beta7 and beta8 integrin cell surface interactions,18,VTNC_HUMAN;MADCA_HUMAN;SDC1_HUMAN;ITB6_HUMAN;FINC_HUMAN;EDIL3_HUMAN;;VCAM1_HUMAN;UPAR_HUMAN;ITB5_HUMAN;CYR61_HUMAN;ITA4_HUMAN;ITB7_HUMAN;ITAV_HUMAN;ITB8_HUMAN;FBN1_HUMAN;UROK_HUMAN;TGFR1_HUMAN;
Degradation of beta catenin,18,LRP6_HUMAN;WNT3A_HUMAN;AXIN2_HUMAN;SKP1_HUMAN;AXIN1_HUMAN;GSK3B_HUMAN;SSPO_HUMAN;DVL2_HUMAN;KC1D_HUMAN;DVL1_HUMAN;CUL1_HUMAN;APC_HUMAN;CTNB1_HUMAN;GSK3A_HUMAN;KC1E_HUMAN;KC1A_HUMAN;FZD5_HUMAN;DVL3_HUMAN;
ErbB receptor signaling network,18,ERBB3_HUMAN;;EGF_HUMAN;AREG_HUMAN;NRG2_HUMAN;NRG3_HUMAN;NRG4_HUMAN;EGFR_HUMAN;;HS90A_HUMAN;;;ERBB2_HUMAN;BTC_HUMAN;EREG_HUMAN;HBEGF_HUMAN;;TGFA_HUMAN;
Regulation of cytoplasmic and nuclear SMAD2/3 signaling,18,SMAD4_HUMAN;MK03_HUMAN;IMA2_HUMAN;PPM1A_HUMAN;CALM_HUMAN;CTDSL_HUMAN;M3K1_HUMAN;NU153_HUMAN;SMAD3_HUMAN;NU214_HUMAN;MK01_HUMAN;PIAS4_HUMAN;UBC9_HUMAN;CTDS2_HUMAN;CTDS1_HUMAN;TGFA1_HUMAN;SMAD2_HUMAN;IMB1_HUMAN;
Atypical NF-kappaB pathway,17,PK3CA_HUMAN;NFKB1_HUMAN;CSK2B_HUMAN;KSYK_HUMAN;CSK21_HUMAN;P85A_HUMAN;SSPO_HUMAN;MK14_HUMAN;LCK_HUMAN;IKBA_HUMAN;TF65_HUMAN;SRC_HUMAN;BCL3_HUMAN;IKKB_HUMAN;ARRB2_HUMAN;REL_HUMAN;CSK22_HUMAN;
Syndecan-3-mediated signaling events,17,MC4R_HUMAN;APH1A_HUMAN;EGFR_HUMAN;FYN_HUMAN;PSN1_HUMAN;IL8_HUMAN;COLI_HUMAN;SRC_HUMAN;NCAN_HUMAN;AGRP_HUMAN;SDC3_HUMAN;PEN2_HUMAN;CSKP_HUMAN;PTN_HUMAN;NICA_HUMAN;APH1B_HUMAN;SRC8_HUMAN;
VEGF and VEGFR signaling network,17,VGFR1_HUMAN;;;;;VEGFD_HUMAN;NRP2_HUMAN;;;VGFR2_HUMAN;VGFR3_HUMAN;;;NRP1_HUMAN;;;VEGFC_HUMAN;
Circadian rhythm pathway,16,ATR_HUMAN;NPAS2_HUMAN;PER2_HUMAN;KC1E_HUMAN;TIM_HUMAN;BMAL1_HUMAN;BHE40_HUMAN;CHK1_HUMAN;CRY2_HUMAN;NR1D1_HUMAN;WDR5_HUMAN;CRY1_HUMAN;DEC1_HUMAN;CLOCK_HUMAN;NONO_HUMAN;PER1_HUMAN;
DNA-PK pathway in nonhomologous end joining,16,PRKDC_HUMAN;XRCC6_HUMAN;APLF_HUMAN;CSK21_HUMAN;XRCC5_HUMAN;DPOLL_HUMAN;APTX_HUMAN;CSK22_HUMAN;XRCC4_HUMAN;TDT_HUMAN;DNLI4_HUMAN;DCR1C_HUMAN;NHEJ1_HUMAN;PNKP_HUMAN;CSK2B_HUMAN;DPOLM_HUMAN;
Effects of Botulinum toxin,16,;;;;RIMS1_HUMAN;VAMP2_HUMAN;;SNP25_HUMAN;ACHA_HUMAN;UN13B_HUMAN;RBGPR_HUMAN;SYT1_HUMAN;;;STXB1_HUMAN;STX1A_HUMAN;
Arf6 downstream pathway,15,RAC1_HUMAN;UPAR_HUMAN;MK03_HUMAN;NDKA_HUMAN;ARF1_HUMAN;RHOA_HUMAN;PLD1_HUMAN;RB11A_HUMAN;KALRN_HUMAN;RFIP3_HUMAN;ARF6_HUMAN;MK01_HUMAN;PI51A_HUMAN;PLD2_HUMAN;TIAM1_HUMAN;
LPA4-mediated signaling events,15,LPAR4_HUMAN;KAPCA_HUMAN;ADCY1_HUMAN;KS6A5_HUMAN;ADCY3_HUMAN;KPCE_HUMAN;ADCY8_HUMAN;ADCY4_HUMAN;CREB1_HUMAN;ADCY7_HUMAN;GNAL_HUMAN;ADCY2_HUMAN;ADCY6_HUMAN;ADCY9_HUMAN;ADCY5_HUMAN;
PAR4-mediated thrombin signaling events,15,GBB1_HUMAN;GNA13_HUMAN;GNA14_HUMAN;THRB_HUMAN;ROCK2_HUMAN;MLRV_HUMAN;GBG2_HUMAN;PLCB2_HUMAN;PAR3_HUMAN;GNA15_HUMAN;PAR4_HUMAN;GNA11_HUMAN;GNAQ_HUMAN;RHOA_HUMAN;ROCK1_HUMAN;
Ras signaling in the CD4+ TCR pathway,15,ELK1_HUMAN;RAF1_HUMAN;RASH_HUMAN;MK01_HUMAN;BRAF_HUMAN;M3K8_HUMAN;FOS_HUMAN;MK03_HUMAN;MP2K1_HUMAN;KPCB_HUMAN;KPCA_HUMAN;PTN7_HUMAN;RASN_HUMAN;;;
S1P4 pathway,15,GNA12_HUMAN;GNAZ_HUMAN;GNAI2_HUMAN;MK03_HUMAN;CDC42_HUMAN;PLCG1_HUMAN;GNA13_HUMAN;MK01_HUMAN;GNAO_HUMAN;GNAI1_HUMAN;RHOA_HUMAN;S1PR4_HUMAN;GNAI3_HUMAN;S1PR5_HUMAN;GNAO_HUMAN;
Validated nuclear estrogen receptor beta network,15,SMCA4_HUMAN;SNF5_HUMAN;ESR2_HUMAN;NCOA1_HUMAN;SMCE1_HUMAN;NR0B2_HUMAN;NEDD8_HUMAN;NCOA2_HUMAN;UBA3_HUMAN;NR0B1_HUMAN;ZNF14_HUMAN;UBC12_HUMAN;DDX54_HUMAN;NCOA3_HUMAN;CO3_HUMAN;
IL5-mediated signaling events,14,CISH_HUMAN;STA5B_HUMAN;IL3RB_HUMAN;LYN_HUMAN;IL5_HUMAN;IL5RA_HUMAN;P85A_HUMAN;SDCB1_HUMAN;PK3CA_HUMAN;PIM1_HUMAN;PTN11_HUMAN;JAK2_HUMAN;GRB2_HUMAN;STA5A_HUMAN;
JNK signaling in the CD4+ TCR pathway,14,CRKL_HUMAN;MK08_HUMAN;M3K1_HUMAN;CRK_HUMAN;M4K1_HUMAN;MP2K4_HUMAN;GRAP2_HUMAN;;M3K7_HUMAN;M3K8_HUMAN;JUN_HUMAN;DBNL_HUMAN;LCP2_HUMAN;KPCB_HUMAN;
ALK2 signaling events,11,BMP7_HUMAN;AMHR2_HUMAN;SMAD9_HUMAN;BMPR2_HUMAN;MIS_HUMAN;SMAD4_HUMAN;TLX2_HUMAN;SMAD5_HUMAN;FKB1A_HUMAN;ACVR1_HUMAN;SMAD1_HUMAN;
Alpha6 beta4 integrin-ligand interactions,11,LAMB3_HUMAN;LAMC1_HUMAN;LAMC2_HUMAN;LAMB1_HUMAN;LAMA2_HUMAN;LAMA1_HUMAN;ITB4_HUMAN;LAMA3_HUMAN;LAMB2_HUMAN;LAMA5_HUMAN;ITA6_HUMAN;
Signaling mediated by p38-gamma and p38-delta,11,MK13_HUMAN;CCND1_HUMAN;STMN1_HUMAN;PKN1_HUMAN;MP2K3_HUMAN;MP2K6_HUMAN;MK12_HUMAN;;SNTA1_HUMAN;EF2K_HUMAN;MLTK_HUMAN;
Sumoylation by RanBP2 regulates transcriptional repression,11,SUMO1_HUMAN;PIAS2_HUMAN;MDM2_HUMAN;RBP2_HUMAN;HDAC4_HUMAN;RAGP1_HUMAN;RAN_HUMAN;HDAC1_HUMAN;XPO1_HUMAN;PIAS1_HUMAN;UBC9_HUMAN;
a4b7 Integrin signaling,9,ITA4_HUMAN;PAXI_HUMAN;ITB7_HUMAN;RHOA_HUMAN;;ITB1_HUMAN;CD44_HUMAN;MADCA_HUMAN;VCAM1_HUMAN;
